Admin 0,Admin 1,Admin 2,Latitude,Longitude
Pakistan,Balochistan,Awaran,26.4244,65.1927
Pakistan,Balochistan,Barkhan,29.9834,69.5704
Pakistan,Balochistan,Chagai,28.875,63.17565
Pakistan,Balochistan,Dera Bugti,29.05895,69.0192
Pakistan,Balochistan,Gwadar,25.4018,63.4284
Pakistan,Balochistan,Harnai,30.03785,67.81735
Pakistan,Balochistan,Jaffarabad,28.28025,68.04395
Pakistan,Balochistan,Jhal Magsi,28.3742,67.48055
Pakistan,Balochistan,Kachhi,29.34235,67.55009
Pakistan,Balochistan,Kalat,28.78015,66.646
Pakistan,Balochistan,Kech,26.00725,63.1043
Pakistan,Balochistan,Kharan,28.6791,65.44769
Pakistan,Balochistan,Khuzdar,27.2971,66.4999
Pakistan,Balochistan,Killa Abdullah,30.68965,66.75024
Pakistan,Balochistan,Killa Saifullah,31.05085,68.40594
Pakistan,Balochistan,Kohlu,29.6459,68.8769
Pakistan,Balochistan,Las Bela,25.7736,66.31855
Pakistan,Balochistan,Lehri,28.99395,68.0633
Pakistan,Balochistan,Loralai,30.29735,68.7191
Pakistan,Balochistan,Mastung,29.7946,66.81635
Pakistan,Balochistan,Musakhel,30.89735,69.88091
Pakistan,Balochistan,Nasirabad,28.62905,68.09215
Pakistan,Balochistan,Nushki,29.4479,65.3895
Pakistan,Balochistan,Panjgur,26.7245,64.20745
Pakistan,Balochistan,Pishin,30.8023,67.2962
Pakistan,Balochistan,Quetta,30.1387,66.76645
Pakistan,Balochistan,Sheerani,31.68805,69.7957
Pakistan,Balochistan,Sibi,29.7262,67.96695
Pakistan,Balochistan,Sohbatpur,28.5539,68.75505
Pakistan,Balochistan,Washuk,27.78185,64.37965
Pakistan,Balochistan,Zhob,31.2232,68.7784
Pakistan,Balochistan,Ziarat,30.37695,67.88385
Pakistan,Federal Capital Territory,Islamabad,33.64875,73.1106
Pakistan,Khyber Pakhtunkhwa,Abbottabad,34.0939,73.24725
Pakistan,Khyber Pakhtunkhwa,Bajaur,34.7438,71.4877
Pakistan,Khyber Pakhtunkhwa,Bannu,32.89985,70.66479
Pakistan,Khyber Pakhtunkhwa,Batagram,34.7619,73.17924
Pakistan,Khyber Pakhtunkhwa,Buner,34.4323,72.48586
Pakistan,Khyber Pakhtunkhwa,Charsadda,34.25215,71.7035
Pakistan,Khyber Pakhtunkhwa,Chitral,36.0644,72.53355
Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.8885,70.75925
Pakistan,Khyber Pakhtunkhwa,FR Bannu,32.99505,70.5675
Pakistan,Khyber Pakhtunkhwa,FR Dera Ismail Khan,31.5311,70.1822
Pakistan,Khyber Pakhtunkhwa,FR Kohat,33.6536,71.59635
Pakistan,Khyber Pakhtunkhwa,FR Lakki Marwat,32.64975,70.39215
Pakistan,Khyber Pakhtunkhwa,FR Peshawar,33.75255,71.69984
Pakistan,Khyber Pakhtunkhwa,FR Tank,32.4281,70.3274
Pakistan,Khyber Pakhtunkhwa,Hangu,33.4108,70.86225
Pakistan,Khyber Pakhtunkhwa,Haripur,34.04785,72.88365
Pakistan,Khyber Pakhtunkhwa,Karak,33.0906,71.1175
Pakistan,Khyber Pakhtunkhwa,Khyber,34.0401,70.98105
Pakistan,Khyber Pakhtunkhwa,Kohat,33.4013,71.538
Pakistan,Khyber Pakhtunkhwa,Kohistan,35.393,73.3215
Pakistan,Khyber Pakhtunkhwa,Kurram,33.6901,70.30756
Pakistan,Khyber Pakhtunkhwa,Lakki Marwat,32.5686,70.82315
Pakistan,Khyber Pakhtunkhwa,Lower Dir,34.8493,71.8512
Pakistan,Khyber Pakhtunkhwa,Malakand PA,34.51505,71.93825
Pakistan,Khyber Pakhtunkhwa,Mansehra,34.69935,73.4745
Pakistan,Khyber Pakhtunkhwa,Mardan,34.30425,72.12595
Pakistan,Khyber Pakhtunkhwa,Mohmand,34.4456,71.348
Pakistan,Khyber Pakhtunkhwa,North Waziristan,32.95665,70.0102
Pakistan,Khyber Pakhtunkhwa,Nowshera,33.9173,71.97325
Pakistan,Khyber Pakhtunkhwa,Orakzai,33.69545,70.99895
Pakistan,Khyber Pakhtunkhwa,Peshawar,33.9701,71.57435
Pakistan,Khyber Pakhtunkhwa,Shangla,34.8455,72.76585
Pakistan,Khyber Pakhtunkhwa,South Waziristan,32.29225,69.8108
Pakistan,Khyber Pakhtunkhwa,Swabi,34.1403,72.48845
Pakistan,Khyber Pakhtunkhwa,Swat,35.23565,72.4458
Pakistan,Khyber Pakhtunkhwa,Tank,32.25395,70.3893
Pakistan,Khyber Pakhtunkhwa,Tor Ghar,34.5471,72.82865
Pakistan,Khyber Pakhtunkhwa,Upper Dir,35.3084,71.95085
Pakistan,Punjab,Attock,33.50815,72.3205
Pakistan,Punjab,Bahawalnagar,29.5802,73.1154
