Abbottabad, Khyber Pakhtunkhwa, PK2, Abbottabad, PK201, , , 
Attock, Punjab, PK6, Attock, PK601, , , 
Awaran, Balochistan, PK7, Awaran, PK701, , , 
Badin, Sindh, PK8, Badin, PK801, , , 
Bahawalnagar, Punjab, PK6, Bahawalnagar, PK602, , , 
Bahawalpur, Punjab, PK6, Bahawalpur, PK603, , , 
Bajaur, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, , , 
Bannu, Khyber Pakhtunkhwa, PK2, Bannu, PK202, , , 
Barkhan, Balochistan, PK7, Barkhan, PK702, , , 
Batagram, Khyber Pakhtunkhwa, PK2, Batagram, PK203, , , 
Bhakkar, Punjab, PK6, Bhakkar, PK604, , , 
Buner, Khyber Pakhtunkhwa, PK2, Buner, PK204, , , 
Chagai, Balochistan, PK7, Chagai, PK704, , , 
Chakwal, Punjab, PK6, Chakwal, PK605, , , 
Charsadda, Khyber Pakhtunkhwa, PK2, Charsadda, PK205, , , 
Chiniot, Punjab, PK6, Chiniot, PK606, , , 
Chitral, Khyber Pakhtunkhwa, PK2, Chitral, PK206, , , 
Dadu, Sindh, PK8, Dadu, PK802, , , 
Dera Bugti, Balochistan, PK7, Dera Bugti, PK705, , , 
Dera Ghazi Khan, Punjab, PK6, Dera Ghazi Khan, PK607, , , 
Dera Ismail Khan, Khyber Pakhtunkhwa, PK2, Dera Ismail Khan, PK207, , , 
Faisalabad, Punjab, PK6, Faisalabad, PK608, , , 
FR Bannu, Khyber Pakhtunkhwa, PK2, FR Bannu, PK239, , , 
FR Dera Ismail Khan, Khyber Pakhtunkhwa, PK2, FR Dera Ismail Khan, PK240, , , 
FR Kohat, Khyber Pakhtunkhwa, PK2, FR Kohat, PK241, , , 
FR Lakki Marwat, Khyber Pakhtunkhwa, PK2, FR Lakki Marwat, PK242, , , 
FR Peshawar, Khyber Pakhtunkhwa, PK2, FR Peshawar, PK243, , , 
FR Tank, Khyber Pakhtunkhwa, PK2, FR Tank, PK244, , , 
Ghotki, Sindh, PK8, Ghotki, PK803, , , 
Gujranwala, Punjab, PK6, Gujranwala, PK609, , , 
Gujrat, Punjab, PK6, Gujrat, PK610, , , 
Gwadar, Balochistan, PK7, Gwadar, PK706, , , 
Hafizabad, Punjab, PK6, Hafizabad, PK611, , , 
Hangu, Khyber Pakhtunkhwa, PK2, Hangu, PK208, , , 
Haripur, Khyber Pakhtunkhwa, PK2, Haripur, PK209, , , 
Harnai, Balochistan, PK7, Harnai, PK707, , , 
Hyderabad, Sindh, PK8, Hyderabad, PK804, , , 
Islamabad, Federal Capital Territory, PK5, Islamabad, PK501, , , 
Jacobabad, Sindh, PK8, Jacobabad, PK805, , , 
Jaffarabad, Balochistan, PK7, Jaffarabad, PK708, , , 
Jamshoro, Sindh, PK8, Jamshoro, PK806, , , 
Jhal Magsi, Balochistan, PK7, Jhal Magsi, PK709, , , 
Jhang, Punjab, PK6, Jhang, PK612, , , 
Jhelum, Punjab, PK6, Jhelum, PK613, , , 
Kachhi, Balochistan, PK7, Kachhi, PK711, , , 
Kalat, Balochistan, PK7, Kalat, PK710, , , 
Karachi City, Sindh, PK8, Karachi City, PK807, , , 
Karak, Khyber Pakhtunkhwa, PK2, Karak, PK210, , , 
Kashmore, Sindh, PK8, Kashmore, PK808, , , 
Kasur, Punjab, PK6, Kasur, PK614, , , 
Kech, Balochistan, PK7, Kech, PK712, , , 
Khairpur, Sindh, PK8, Khairpur, PK809, , , 
Khanewal, Punjab, PK6, Khanewal, PK615, , , 
Kharan, Balochistan, PK7, Kharan, PK713, , , 
Khushab, Punjab, PK6, Khushab, PK616, , , 
Khuzdar, Balochistan, PK7, Khuzdar, PK714, , , 
Khyber, Khyber Pakhtunkhwa, PK2, Khyber, PK233, , , 
Killa Abdullah, Balochistan, PK7, Killa Abdullah, PK715, , , 
Killa Saifullah, Balochistan, PK7, Killa Saifullah, PK716, , , 
Kohat, Khyber Pakhtunkhwa, PK2, Kohat, PK211, , , 
Kohistan, Khyber Pakhtunkhwa, PK2, Kohistan, PK212, , , 
Kohlu, Balochistan, PK7, Kohlu, PK717, , , 
Kurram, Khyber Pakhtunkhwa, PK2, Kurram, PK234, , , 
Lahore, Punjab, PK6, Lahore, PK617, , , 
Lakki Marwat, Khyber Pakhtunkhwa, PK2, Lakki Marwat, PK213, , , 
Larkana, Sindh, PK8, Larkana, PK810, , , 
Las Bela, Balochistan, PK7, Las Bela, PK718, , , 
Layyah, Punjab, PK6, Layyah, PK618, , , 
Lehri, Balochistan, PK7, Lehri, PK732, , , 
Lodhran, Punjab, PK6, Lodhran, PK619, , , 
Loralai, Balochistan, PK7, Loralai, PK719, , , 
