Abbottabad, Khyber Pakhtunkhwa, PK2, Abbottabad, PK201, Abbottabad, PK20101, 
Ahmadupr East, Punjab, PK6, Bahawalpur, PK603, Ahmadupr East, PK60305, 
Ahmedpur Sial, Punjab, PK6, Jhang, PK612, Ahmedpur Sial, PK61201, 
Alai, Khyber Pakhtunkhwa, PK2, Batagram, PK203, Alai, PK20301, 
Alipur, Punjab, PK6, Muzaffargarh, PK623, Alipur, PK62301, 
Alpuri, Khyber Pakhtunkhwa, PK2, Shangla, PK220, Alpuri, PK22001, 
Ambar Utman Khel, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Ambar Utman Khel, PK23501, 
Arif Wala, Punjab, PK6, Pakpattan, PK627, Arif Wala, PK62701, 
Attock, Punjab, PK6, Attock, PK601, Attock, PK60101, 
Awaran, Balochistan, PK7, Awaran, PK701, Awaran, PK70101, 
Baba Kot, Balochistan, PK7, Nasirabad, PK722, Baba Kot, PK72201, 
Babuzai, Khyber Pakhtunkhwa, PK2, Swat, PK222, Babuzai, PK22201, 
Badin, Sindh, PK8, Badin, PK801, Badin, PK80101, 
Badinai, Balochistan, PK7, Killa Saifullah, PK716, Badinai, PK71601, 
Bahawalnagar, Punjab, PK6, Bahawalnagar, PK602, Bahawalnagar, PK60201, 
Bahawalpur, Punjab, PK6, Bahawalpur, PK603, Bahawalpur, PK60301, 
Bahrain, Khyber Pakhtunkhwa, PK2, Swat, PK222, Bahrain, PK22202, 
Bakrani, Sindh, PK8, Larkana, PK810, Bakrani, PK81001, 
Balakot, Khyber Pakhtunkhwa, PK2, Mansehra, PK216, Balakot, PK21601, 
Balnigor, Balochistan, PK7, Kech, PK712, Balnigor, PK71201, 
Banda Daud Shah, Khyber Pakhtunkhwa, PK2, Karak, PK210, Banda Daud Shah, PK21001, 
Bannu, Khyber Pakhtunkhwa, PK2, Bannu, PK202, Bannu, PK20201, 
Bar Chamarkand, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Bar Chamarkand, PK23202, 
Bara, Khyber Pakhtunkhwa, PK2, Khyber, PK233, Bara, PK23301, 
Barang, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Barang, PK23201, 
Barawal, Khyber Pakhtunkhwa, PK2, Upper Dir, PK230, Barawal, PK23001, 
Barikot, Khyber Pakhtunkhwa, PK2, Swat, PK222, Barikot, PK22203, 
