Admin 1,Admin 2,Admin 3,Facility,HF_Type,Catchment,Latitude,Longitude
Azad Kashmir,Bagh,Dhir Kot,Sahlian,BHU,"10,840",34.028111,73.539194
Azad Kashmir,Bagh,Dhir Kot,Dhir Kot,RHC,"11,144",34.000861,73.565389
Azad Kashmir,Bagh,Dhir Kot,Hill Surung,FAP,"4,811",34.106758,73.532402
Azad Kashmir,Bagh,Dhir Kot,Rangla,BHU,"42,655",34.057444,73.646917
Azad Kashmir,Bagh,Dhir Kot,Dhir Kot,FAP,"8,590",34.033278,73.574869
Azad Kashmir,Bagh,Dhir Kot,Makhyala,FAP,"3,440",0,0
Azad Kashmir,Bagh,Dhir Kot,Makhyala,FAP,"2,580",0,0
Azad Kashmir,Bagh,Dhir Kot,Makhyala,BHU,"14,676",33.991694,73.6283
Azad Kashmir,Bagh,Dhir Kot,Makhyala,FAP,"2,375",33.982211,73.576427
Azad Kashmir,Bagh,Dhir Kot,Kotali,CD/GD,"2,765",34.062098,73.592152
Azad Kashmir,Bagh,Dhir Kot,Malot,RHC,"13,664",33.977,73.663472
Azad Kashmir,Bagh,Bagh,Birpani,FAP,"18,602",34.079368,73.748303
Azad Kashmir,Bagh,Dhir Kot,Mallot,FAP,"4,390",34.027083,73.691611
Azad Kashmir,Bagh,Hari Ghal,Chak Sarrian FAP,FAP,"7,210",0,0
Azad Kashmir,Bagh,Hari Ghal,Ban Gran FAP,FAP,"6,844",0,0
Azad Kashmir,Bagh,Bagh,Panyali FAP,FAP,"12,420",0,0
Azad Kashmir,Bagh,Hari Ghal,Juglari FAP,FAP,"10,127",33.995694,73.717139
Azad Kashmir,Bagh,Bagh,D harray,FAP,"7,575",33.938524,73.823191
Azad Kashmir,Bagh,Bagh,Beri Bari FAP,FAP,"9,210",0,0
Azad Kashmir,Bagh,Bagh,Kotri Qndil FAP,FAP,"10,680",0,0
Azad Kashmir,Bagh,Hari Ghal,Kothian FAP,FAP,"14,698",33.92538,73.745804
Azad Kashmir,Bagh,Hari Ghal,Shuja Abad FAP,FAP,"6,000",0,0
Azad Kashmir,Bagh,Hari Ghal,Kahoti FAP,FAP,"7,679",0,0
Azad Kashmir,Bagh,Bagh,Soufy Coolan,FAP,"5,000",0,0
Azad Kashmir,Bagh,Bagh,Mahajer Camp Chatter No.2,FAP,"1,540",33.941917,73.835222
Azad Kashmir,Bagh,Bagh,Basoti FAP,FAP,"1,400",0,0
Azad Kashmir,Bagh,,Kharl Panyali,FAP,"9,645",33.966778,73.846056
Azad Kashmir,Bagh,Bagh,Sari Gala,FAP,"3,000",0,0
Azad Kashmir,Bagh,Bagh,Samni,FAP,"3,615",0,0
