UID,Admin 1,Province PCode,Admin 2,District PCode,Admin 3,Tehsil PCode,Facility,Health Facility Code,Facility Type
1,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Shah Muhammad,322073,Bhu
2,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Bagra,322003,Bhu
3,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Gudwalian,322011,Bhu
4,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Koklian Piran,322022,Bhu
5,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Bandi Sher Khan,322002,Bhu
6,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Ghumawan,322012,Bhu
7,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Barkot,322004,Bhu
8,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Halli,322042,Rhc
9,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Beer,322005,Bhu
10,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kakotri,322020,Bhu
11,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Muslimabad,322033,Bhu
12,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Ch Kotla,322040,Cd
13,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Khoi Narra,322021,Bhu
14,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Dheenda,322009,Bhu
15,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Dingi,322010,Bhu
16,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Central Jail,322043,Cd
17,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Hattar,322014,Bhu
18,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Nullah,322032,Bhu
19,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Jattipind,322015,Bhu
20,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kalinger,322017,Bhu
21,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kts No4,322048,Cd
22,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kts No3,322077,Cd
23,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Khanpur,322060,Rhc
24,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kotnajibullah,322061,Rhc
25,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kot Najibullah,322072,Cd
26,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kariplian,322019,Bhu
27,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Luder Mang,322025,Bhu
28,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Chaintry,322026,Bhu
29,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Mankarai,322027,Bhu
30,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Pharraray,322046,Cd
31,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Dartian,322007,Bhu
32,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Najafpur,322031,Bhu
33,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Mirpur,322029,Bhu
34,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Kangra Colony,322018,Bhu
35,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Panian,322034,Bhu
36,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Jab,322016,Bhu
37,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Sarai Salah,322036,Bhu
38,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Sarai Naimat Khan,322062,Rhc
39,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Sikandrpur,322037,Bhu
40,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Mang,322030,Bhu
41,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Civil Hospital Kts,322055,Ch
42,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Tofkian,322038,Bhu
43,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Brug,322006,Bhu
44,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Gali Amazai,322013,Bhu
45,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Bait Gali,322079,Bhu
46,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Kaneerri,322084,Bhu
47,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Ghazi,322059,Rhc
48,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Ghazi Hamlet,322041,Cd
49,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Amgah,322001,Bhu
50,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Kotehra,322023,Bhu
51,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Kundi,322024,Bhu
52,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Salamkhand,322035,Bhu
53,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Nara Amazai,322085,Rhc
54,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,Sirikot,322063,Rhc
322,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Meher Ali,432065,Cd
321,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Rasheed Khoso,432064,Cd
320,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Raouf,432063,Cd
318,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Arz Muhammad Bugti,432061,Cd
319,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Azam Khan Khoso,432062,Cd
317,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Allah Waraya Khoso,432060,Cd
316,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Naseebullah Khoso,432049,Cd
315,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Baloo Pur,432045,Cd
314,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Sattar,432042,Cd
313,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adil Bugti,432040,Bhu
312,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Roshan Din Khoso,432039,Bhu
311,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Sohbat Pur,432031,Bhu
310,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Panhwar,432030,Bhu
309,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Noor Muhammad Bugti,432029,Bhu
308,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Murad Ali,432028,Bhu
307,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Ibrahim Gajani,432027,Bhu
306,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Amin Kandrani,432026,Bhu
305,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Mehrab Khan Nindwani,432025,Bhu
304,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Malguzar,432024,Bhu
303,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jia Khan Khoso,432023,Bhu
302,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jhanda Talab,432022,Bhu
301,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Dirghi,432021,Bhu
300,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Ali Abad Golo,432020,Bhu
299,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adum Pur,432019,Bhu
298,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Aziz Khoso,432018,Bhu
296,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Mch Centre,432082,Mch
295,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Piyara Khan Umrani,432059,Cd
294,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Peeralabad,432058,Cd
293,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Khan Pur,432057,Cd
292,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Rustam Khan Jamali,432056,Cd
291,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Shabir Umrani,432055,Cd
290,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Faizabad Jamali,432054,Cd
289,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Chutta Khan Jamali,432053,Cd
288,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Hassan Jamali,432052,Cd
287,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Noor Muhammad Jamali,432041,Bhu
286,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ghareebabad,432017,Bhu
285,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Allah Dina Rind,432016,Bhu
284,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Abad Jamali,432015,Bhu
283,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,50 Beded Hospital,432009,Labour Hospital
282,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Civil Hospital,432008,Civil Hospital
12577,Khyber Pakhtunkhwa,8,Khyber,803,Landikotal,803001,Kam Shalman,803031,Bhu
12576,Khyber Pakhtunkhwa,8,Khyber,803,Landikotal,803001,Torkham,803021,Bhu
279,Balochistan,4,Jaffarabad,432,Gandakha,432002,Dr Taj Muhammad Jamali,432089,Health Auxillary
277,Balochistan,4,Jaffarabad,432,Gandakha,432002,Noshki Jadeed,432079,Cd
278,Balochistan,4,Jaffarabad,432,Gandakha,432002,Mch Centre Kandri,432086,Mch
276,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Hassan Brohi,432078,Cd
275,Balochistan,4,Jaffarabad,432,Gandakha,432002,Meva Khan,432077,Cd
274,Balochistan,4,Jaffarabad,432,Gandakha,432002,Keher Kot,432076,Cd
273,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Ibrahim Jamali,432075,Bhu
272,Balochistan,4,Jaffarabad,432,Gandakha,432002,Kandri,432074,Cd
271,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ghulam Muhammad Jamali,432073,Cd
270,Balochistan,4,Jaffarabad,432,Gandakha,432002,Sibi Jadeed,432038,Bhu
269,Balochistan,4,Jaffarabad,432,Gandakha,432002,Monder Kot,432037,Bhu
268,Balochistan,4,Jaffarabad,432,Gandakha,432002,Gandakha,432036,Bhu
267,Balochistan,4,Jaffarabad,432,Gandakha,432002,Chowki Jamali,432035,Bhu
266,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Tail,432034,Bhu
265,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Head,432033,Bhu
264,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ahmedabad,432032,Bhu
263,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Mch Centre,432080,Mch
262,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Zulfiqarabad,432051,Cd
261,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Sikandar Shakh,432050,Cd
