Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Bagh,Dhir Kot,Sahlian,Bhu,"10,840",34.028111,73.539194,1-fac1
Azad Kashmir,Bagh,Dhir Kot,Dhir Kot,Rhc,"11,144",34.000861,73.565389,2-fac1
Azad Kashmir,Bagh,Dhir Kot,Hill Surung,Fap,"4,811",34.106758,73.532402,3-fac1
Azad Kashmir,Bagh,Dhir Kot,Rangla,Bhu,"42,655",34.057444,73.646917,4-fac1
Azad Kashmir,Bagh,Dhir Kot,Dhir Kot,Fap,"8,590",34.033278,73.574869,5-fac1
Azad Kashmir,Bagh,Dhir Kot,Makhyala,Fap,"3,440",0,0,6-fac1
Azad Kashmir,Bagh,Dhir Kot,Makhyala,Fap,"2,580",0,0,7-fac1
Azad Kashmir,Bagh,Dhir Kot,Makhyala,Bhu,"14,676",33.991694,73.6283,8-fac1
Azad Kashmir,Bagh,Dhir Kot,Makhyala,Fap,"2,375",33.982211,73.576427,9-fac1
Azad Kashmir,Bagh,Dhir Kot,Kotali,Cd/Gd,"2,765",34.062098,73.592152,10-fac1
Azad Kashmir,Bagh,Dhir Kot,Malot,Rhc,"13,664",33.977,73.663472,11-fac1
Azad Kashmir,Bagh,Bagh,Birpani,Fap,"18,602",34.079368,73.748303,12-fac1
Azad Kashmir,Bagh,Dhir Kot,Mallot,Fap,"4,390",34.027083,73.691611,13-fac1
Azad Kashmir,Bagh,Hari Ghal,Chak Sarrian,Fap,"7,210",0,0,14-fac1
Azad Kashmir,Bagh,Hari Ghal,Ban Gran,Fap,"6,844",0,0,15-fac1
Azad Kashmir,Bagh,Bagh,Panyali,Fap,"12,420",0,0,16-fac1
Azad Kashmir,Bagh,Hari Ghal,Juglari,Fap,"10,127",33.995694,73.717139,17-fac1
Azad Kashmir,Bagh,Bagh,D Harray,Fap,"7,575",33.938524,73.823191,18-fac1
Azad Kashmir,Bagh,Bagh,Beri Bari,Fap,"9,210",0,0,19-fac1
Azad Kashmir,Bagh,Bagh,Kotri Qndil,Fap,"10,680",0,0,20-fac1
Azad Kashmir,Bagh,Hari Ghal,Kothian,Fap,"14,698",33.92538,73.745804,21-fac1
Azad Kashmir,Bagh,Hari Ghal,Shuja Abad,Fap,"6,000",0,0,22-fac1
Azad Kashmir,Bagh,Hari Ghal,Kahoti,Fap,"7,679",0,0,23-fac1
Azad Kashmir,Bagh,Bagh,Soufy Coolan,Fap,"5,000",0,0,24-fac1
Azad Kashmir,Bagh,Bagh,Mahajer Camp Chatter No.2,Fap,"1,540",33.941917,73.835222,25-fac1
Azad Kashmir,Bagh,Bagh,Basoti,Fap,"1,400",0,0,26-fac1
Azad Kashmir,Bagh,,Kharl Panyali,Fap,"9,645",33.966778,73.846056,27-fac1
Azad Kashmir,Bagh,Bagh,Sari Gala,Fap,"3,000",0,0,28-fac1
Azad Kashmir,Bagh,Bagh,Samni,Fap,"3,615",0,0,29-fac1
Azad Kashmir,Bagh,Bagh,Rair Ban,Fap,"5,802",34.05442,73.744323,30-fac1
Azad Kashmir,Bagh,Dhir Kot,Rangla,Fap,"23,390",34.058288,73.594133,31-fac1
Azad Kashmir,Bagh,Dhir Kot,Chamyati,Fap,"14,000",34.060422,73.54734,32-fac1
Azad Kashmir,Bagh,Bagh,Dhundar,Fap,"14,000",0,0,33-fac1
Azad Kashmir,Bagh,Dhir Kot,Chirala,Fap,"1,800",33.965965,73.578301,34-fac1
Azad Kashmir,Bagh,Dhir Kot,Sahlian,Fap,"2,000",33.991896,73.531542,35-fac1
Azad Kashmir,Bagh,Bagh,Dak Pader,Fap,"7,625",0,0,36-fac1
