Admin 1,Admin 2,Admin 2,Facility,HF_Type,Latitude,Longitude,ID,
Azad Kashmir,Bagh,DHIR KOT,Sahlian,BHU,34.028111,73.539194,1,
Azad Kashmir,Bagh,DHIR KOT,Dhir Kot,RHC,34.000861,73.565389,2,
Azad Kashmir,Bagh,DHIR KOT,Hill Surung,FAP,34.106758,73.532402,3,
Azad Kashmir,Bagh,DHIR KOT,Rangla,BHU,34.057444,73.646917,4,
Azad Kashmir,Bagh,DHIR KOT,Dhir Kot,FAP,34.033278,73.574869,5,
Azad Kashmir,Bagh,DHIR KOT,Makhyala,FAP,0.000000,0.000000,6,
Azad Kashmir,Bagh,DHIR KOT,Makhyala,FAP,0.000000,0.000000,7,
Azad Kashmir,Bagh,DHIR KOT,Makhyala,BHU,33.991694,73.628300,8,
Azad Kashmir,Bagh,DHIR KOT,Makhyala,FAP,33.982211,73.576427,9,
Azad Kashmir,Bagh,DHIR KOT,Kotali,CD/GD,34.062098,73.592152,10,
Azad Kashmir,Bagh,DHIR KOT,Malot,RHC,33.977000,73.663472,11,
Azad Kashmir,Bagh,BAGH,Birpani,FAP,34.079368,73.748303,12,
Azad Kashmir,Bagh,DHIR KOT,Mallot,FAP,34.027083,73.691611,13,
Azad Kashmir,Bagh,Hari Ghal,Chak Sarrian FAP,FAP,0.000000,0.000000,14,
Azad Kashmir,Bagh,Hari Ghal,Ban Gran FAP,FAP,0.000000,0.000000,15,
Azad Kashmir,Bagh,BAGH,Panyali FAP,FAP,0.000000,0.000000,16,
Azad Kashmir,Bagh,Hari Ghal,Juglari FAP,FAP,33.995694,73.717139,17,
Azad Kashmir,Bagh,BAGH,D harray,FAP,33.938524,73.823191,18,
Azad Kashmir,Bagh,BAGH,Beri Bari FAP,FAP,0.000000,0.000000,19,
Azad Kashmir,Bagh,BAGH,Kotri Qndil FAP,FAP,0.000000,0.000000,20,
Azad Kashmir,Bagh,Hari Ghal,Kothian FAP,FAP,33.925380,73.745804,21,
Azad Kashmir,Bagh,Hari Ghal,Shuja Abad FAP,FAP,0.000000,0.000000,22,
Azad Kashmir,Bagh,Hari Ghal,Kahoti FAP,FAP,0.000000,0.000000,23,
Azad Kashmir,Bagh,BAGH,Soufy Coolan,FAP,0.000000,0.000000,24,
Azad Kashmir,Bagh,BAGH,Mahajer Camp Chatter No.2,FAP,33.941917,73.835222,25,
Azad Kashmir,Bagh,BAGH,Basoti FAP,FAP,0.000000,0.000000,26,
Azad Kashmir,Bagh,,Kharl Panyali,FAP,33.966778,73.846056,27,
Azad Kashmir,Bagh,BAGH,Sari Gala,FAP,0.000000,0.000000,28,
Azad Kashmir,Bagh,BAGH,Samni,FAP,0.000000,0.000000,29,
Azad Kashmir,Bagh,BAGH,Rair Ban,FAP,34.054420,73.744323,30,
Azad Kashmir,Bagh,DHIR KOT,Rangla,FAP,34.058288,73.594133,31,
Azad Kashmir,Bagh,DHIR KOT,Chamyati,FAP,34.060422,73.547340,32,
Azad Kashmir,Bagh,BAGH,Dhundar,FAP,0.000000,0.000000,33,
Azad Kashmir,Bagh,DHIR KOT,Chirala,FAP,33.965965,73.578301,34,
Azad Kashmir,Bagh,DHIR KOT,Sahlian,FAP,33.991896,73.531542,35,
Azad Kashmir,Bagh,BAGH,Dak Pader,FAP,0.000000,0.000000,36,
Azad Kashmir,Bagh,DHIR KOT,Chirala,BHU,33.953194,73.564833,37,
Azad Kashmir,Bagh,DHIR KOT,Chamyati,CD/GD,34.084047,73.562277,38,
Azad Kashmir,Bagh,BAGH,Bair Pani,CD/GD,34.045163,73.787460,39,
Azad Kashmir,Bagh,Hari Ghal,Thoub,CD/GD,34.032500,73.715639,40,
Azad Kashmir,Bagh,BAGH,Rawali,CD/GD,33.951236,73.780556,41,
Azad Kashmir,Bagh,BAGH,Bagh,CD/GD,0.000000,0.000000,42,
Azad Kashmir,Bagh,DHIR KOT,Choor,BHU,33.980649,73.668590,43,
Azad Kashmir,Bagh,Hari Ghal,Hari Ghal,BHU,33.947333,73.705000,44,
Azad Kashmir,Bagh,DHIR KOT,Mallot,BHU,34.027083,73.691611,45,
Azad Kashmir,Bagh,BAGH,Rawali,BHU,0.000000,0.000000,46,
Azad Kashmir,Bagh,Hari Ghal,Ghal Topi,BHU,33.898861,73.750892,47,
Azad Kashmir,Bagh,BAGH,Dhulli,BHU,0.000000,0.000000,48,
Azad Kashmir,Bagh,BAGH,Rera,BHU,33.932386,73.867875,49,
Azad Kashmir,Bagh,BAGH,Kheral Abbasian,BHU,33.990000,73.849222,50,
Azad Kashmir,Bagh,BAGH,kharl Maldayan,BHU,33.977056,73.861333,51,
Azad Kashmir,Bagh,BAGH,Rai Kot,BHU,33.939417,73.942472,52,
Azad Kashmir,Bagh,BAGH,Bagh,CD/GD,0.000000,0.000000,53,
Azad Kashmir,Bagh,BAGH,Ratnol,BHU,0.000000,0.000000,54,
Azad Kashmir,Bagh,BAGH,Sari Piran,BHU,34.058139,73.736306,55,
Azad Kashmir,Bagh,BAGH,Bair Pani,BHU,34.048944,73.757722,56,
Azad Kashmir,Bagh,DHIR KOT,DHIR KOT,BHU,34.004889,73.593250,57,
Azad Kashmir,Bagh,Hari Ghal,Kafal Garh,RHC,33.980750,73.710139,58,
Azad Kashmir,Bagh,BAGH,Topi,RHC,33.922867,73.772192,59,
Azad Kashmir,Bagh,BAGH,Bagh,RHC,33.981030,73.776450,60,
Azad Kashmir,Bagh,BAGH,Dharry,RHC,0.000000,0.000000,61,
Azad Kashmir,Bagh,DHIR KOT,Dhir Kot,RHC,34.033417,73.579639,62,
Azad Kashmir,Hattian,Leepa,Leepa,RHC,34.303932,73.870310,63,
Azad Kashmir,Hattian,Leepa,Banamulla,BHU,34.240366,73.824027,64,
Azad Kashmir,Hattian,Leepa,Moji,FAP,34.314771,73.804987,65,
Azad Kashmir,Hattian,Leepa,Gai Pura,FAP,34.316821,73.841896,66,
Azad Kashmir,Hattian,Hattian,Rashian,BHU,34.257649,73.820512,67,
Azad Kashmir,Hattian,Hattian,Bani Hafiz,FAP,0.000000,0.000000,68,
Azad Kashmir,Hattian,Hattian,Chinari,BHU,34.160103,73.826371,69,
Azad Kashmir,Hattian,Hattian,Sarran,BHU,34.187053,73.671703,70,
Azad Kashmir,Hattian,Leepa,Nokot,BHU,34.257356,73.503853,71,
Azad Kashmir,Hattian,Hattian,Drang,FAP,0.000000,0.000000,72,
Azad Kashmir,Hattian,Hattian,Juscool,FAP,34.147612,73.836059,73,
Azad Kashmir,Hattian,Hattian,Bandi Bala,FAP,0.000000,0.000000,74,
Azad Kashmir,Hattian,Hattian,Ghel Jabra,CD/GD,34.323266,73.597298,75,
Azad Kashmir,Hattian,Hattian,Chakhama,BHU,34.176214,73.873532,76,
Azad Kashmir,Hattian,Hattian,Bani Langrial,FAP,34.113527,73.756067,77,
Azad Kashmir,Hattian,Hattian,Sana Daman,BHU,34.138426,73.773350,78,
