ID,Category,Sub_Cat,Gov_Pvt,Facility,Tehsil,Admin 2,Admin 1,Latitude,Longitude
1,GENERAL PHYSICIAN,CLINIC,PRIVATE,SHAEEN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.17073005140,73.25897780590
2,GENERAL PHYSICIAN,CLINIC,PRIVATE,BANO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16954016910,73.25900838770
3,GENERAL PHYSICIAN,CLINIC,PRIVATE,MANGAL POLY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15743658970,73.26333637490
4,GENERAL PHYSICIAN,CLINIC,PRIVATE,NUSRAT MEHMOOD CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14785687340,73.26289927430
5,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,ALTAF HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14541532240,73.21843399950
6,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,HIRA HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14437642040,73.21619035020
7,GENERAL PHYSICIAN,CLINIC,PRIVATE,ROOHI TABSAMM CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14616708770,73.21581070390
8,GENERAL PHYSICIAN,CLINIC,PRIVATE,NARGIS DANISH CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14584919890,73.21565463300
9,DENTAL CLINIC,CLINIC,PRIVATE,SMILE DENTAL CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14933079270,73.21237911500
10,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,REHMAT MEMORIAL HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.17012741940,73.22516648750
11,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,NARGIS ARIF HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.18739958700,73.23924970900
12,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,JINNAH HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.18741751890,73.23847833870
13,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,MARGIS ARIF HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.18814081710,73.23934097470
14,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,ORUSH HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19408391190,73.23501876350
15,GENERAL PHYSICIAN,CLINIC,PRIVATE,RAHAT UN NISA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19641432050,73.23684817070
16,GENERAL PHYSICIAN,CLINIC,PRIVATE,ZAIN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14578655210,73.21944714040
17,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHAFIQ MEDICAL CENTER,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19624440550,73.23623246690
