UID,Category,Sub_Cat,Gov_Pvt,Facility,Admin 3,Admin 2,Admin 1,Latitude,Longitude,Facility Type
146-fac2,Basic Health Unit,Bhu,Government,Dhamtour,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.13852618,73.28022196,Bhu
147-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Khanispur (Ayubai),Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.02176557,73.41661077,x
148-fac2,General Hospitals,Medical Facilities,Government,Pma Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18798934,73.26042712,x
149-fac2,Basic Health Unit,Bhu,Government,Ziarat Masoom,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.9745396,73.33671826,Bhu
150-fac2,Basic Health Unit,Bhu,Government,Sheikhul Bandi,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14963298,73.23565955,Bhu
151-fac2,District Headquarter Hospital,Dhq,Government,Benazir Bhutto Shaheed Teaching Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14569331,73.22158852,x
152-fac2,Children Hospital,Medical Facilities,Government,Women & Children's Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14593134,73.21478177,x
153-fac2,General Hospitals,Medical Facilities,Government,Cmh Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15937206,73.22211713,x
154-fac2,General Hospitals,Medical Facilities,Government,City General Hospital Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20024293,73.23770985,x
155-fac2,General Hospitals,Medical Facilities,Government,Ayub Teaching Hospital Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.2038946,73.23802721,x
156-fac2,Children Hospital,Medical Facilities,Government,Women & Children's Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20550875,73.23897753,x
157-fac2,General Hospitals,Medical Facilities,Government,Institute Of Nuclear Medical Oncology & Radiotherapy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20637371,73.23876346,x
158-fac2,Basic Health Unit,Bhu,Government,Pando Thana,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.21714751,73.14911994,Bhu
159-fac2,Basic Health Unit,Bhu,Government,Herlain,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15039634,73.30957307,Bhu
160-fac2,General Hospitals,Medical Facilities,Government,Genral Hospital Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14011,73.35150976,x
161-fac2,Basic Health Unit,Bhu,Government,Phal Kot,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14877665,73.37470406,Bhu
162-fac2,General Hospitals,Medical Facilities,Government,Pof Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.03640115,73.11409839,x
163-fac2,General Hospitals,Medical Facilities,Government,Cmh Family Wing,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15845402,73.21958714,x
164-fac2,Dispensary,Medical Facilities,Government,Dispensary,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.22295663,73.24235931,x
165-fac2,Dispensary,Medical Facilities,Government,Cantt Board Dispensary,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14846181,73.21585106,x
166-fac2,Basic Health Unit,Bhu,Government,Dalola,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.35663745,73.39356827,Bhu
167-fac2,Dispensary,Medical Facilities,Government,Dispensary Began,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.30148297,73.38251736,x
168-fac2,Dispensary,Medical Facilities,Government,Dispensary Plair,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.27819942,73.47666833,x
169-fac2,Basic Health Unit,Bhu,Government,Kokmang,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.26873986,73.45767351,Bhu
170-fac2,Basic Health Unit,Bhu,Government,Salool Bandi,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.26067399,73.43236718,Bhu
171-fac2,Basic Health Unit,Bhu,Government,Pattan Kalan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.25822474,73.44759005,Bhu
172-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Lakhala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.17904779,73.00875755,x
173-fac2,Basic Health Unit,Bhu,Government,Kangar Bala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.21280583,73.02165792,Bhu
174-fac2,Dispensary,Medical Facilities,Government,Dispensary Jarral,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14966723,73.04756692,x
175-fac2,Basic Health Unit,Bhu,Government,Takhti Ahmad Khan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.24731187,73.04785621,Bhu
176-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Sherwan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20339385,73.06834514,x
177-fac2,Basic Health Unit,Bhu,Government,Nagri Bala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04714365,73.34689774,Bhu
178-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Nathia Gali,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.07152492,73.38222987,x
179-fac2,Dispensary,Medical Facilities,Government,Essi Dispensary Havelian,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05430779,73.14903971,x
180-fac2,General Hospitals,Medical Facilities,Government,Govt. Hospital Tarnawai,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.27122766,73.29616904,x
181-fac2,Basic Health Unit,Bhu,Government,Mera Rumal,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.96006926,73.3668727,Bhu
182-fac2,Sub-Health Center,Shc,Government,Shc Seer,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.96610405,73.33993041,x
183-fac2,Basic Health Unit,Bhu,Government,Tajwal,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.98603945,73.35028416,Bhu
184-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Changla Gali,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.98013483,73.40606575,x
185-fac2,Basic Health Unit,Bhu,Government,Malkot,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.99107928,73.43300822,Bhu
