Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type
Health Facility,Azad Kashmir,Bagh,4,Bhu Birpani,2,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Chowki,3,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Dhulli,4,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Jhaglari,6,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Khawaja Ratnoi,8,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Khorl Abbasian,9,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Khorl Meldialin,10,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Kot,12,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Neela Butt,13,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Rangla,14,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Rera,15,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Sahlian,18,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Sari Pirain,19,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Sirsyedan,20,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Sohawa Shreef,21,x
Health Facility,Azad Kashmir,Bhimber,4,Bhu Thub,23,x
Health Facility,Azad Kashmir,Bhimber,4,Cd Bani Pasari,25,x
Health Facility,Azad Kashmir,Bhimber,4,Cd Hill Hosp,27,x
Health Facility,Azad Kashmir,Bhimber,4,Cd Hq Bagh,30,x
Health Facility,Azad Kashmir,Bhimber,4,Cd Naryola,31,x
Health Facility,Azad Kashmir,Bhimber,4,Cd Sangher Bathara,32,x
Health Facility,Azad Kashmir,Bhimber,4,Dhq Hosp Bagh,33,x
Health Facility,Azad Kashmir,Bhimber,4,Epi Center Harri Ghal,35,x
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36,x
Health Facility,Azad Kashmir,Bhimber,4,Fap Disp Sallyna Mddila,37,x
Health Facility,Azad Kashmir,Bhimber,4,Fap Natra Kot,38,x
Health Facility,Azad Kashmir,Bhimber,4,Rhc Chittra Topi,39,x
Health Facility,Azad Kashmir,Bhimber,4,Rhc Chtter Noz,40,x
Health Facility,Azad Kashmir,Bhimber,4,Rhc Epi Center Arja,41,x
