Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type
Health Facility,Azad Kashmir,Bagh,4,Birpani,2,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Chowki,3,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Dhulli,4,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Jhaglari,6,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Khawaja Ratnoi,8,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Khorl Abbasian,9,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Khorl Meldialin,10,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Kot,12,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Neela Butt,13,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Rangla,14,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Rera,15,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Sahlian,18,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Sari Pirain,19,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Sirsyedan,20,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Sohawa Shreef,21,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Thub,23,Bhu
Health Facility,Azad Kashmir,Bhimber,4,Bani Pasari,25,Cd
Health Facility,Azad Kashmir,Bhimber,4,Hill Hosp,27,Cd
Health Facility,Azad Kashmir,Bhimber,4,Hq Bagh,30,Cd
Health Facility,Azad Kashmir,Bhimber,4,Naryola,31,Cd
Health Facility,Azad Kashmir,Bhimber,4,Sangher Bathara,32,Cd
Health Facility,Azad Kashmir,Bhimber,4,Dhq Hosp Bagh,33,x
Health Facility,Azad Kashmir,Bhimber,4,Epi Center Harri Ghal,35,x
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36,x
Health Facility,Azad Kashmir,Bhimber,4,Disp Sallyna Mddila,37,Fap
Health Facility,Azad Kashmir,Bhimber,4,Natra Kot,38,Fap
Health Facility,Azad Kashmir,Bhimber,4,Chittra Topi,39,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Chtter Noz,40,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Epi Center Arja,41,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Ghazi Abad,42,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Kafal Garh,44,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Mallot,45,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Sessar,47,Rhc
Health Facility,Azad Kashmir,Bhimber,4,Tehsil Store Harri Ghal,49,x
Health Facility,Azad Kashmir,Bhimber,4,Thq Dhirkot,52,x
Health Facility,Azad Kashmir,Bhimber,4,Thq Dhirkot Store,54,x
District,Azad Kashmir,Bhimber,3,Bagh District Store,57,x
Health Facility,Azad Kashmir,Bhimber,4,Cheez,76,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Baba Sheel Shadi,77,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Banin,79,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Barhing,81,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Barnala,83,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Bhmawa,84,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Binali,86,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Channi Thothal,87,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Dabb,91,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Gora Nakka,92,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Jandala,93,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Kalri,97,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Kherowal,98,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Kot Jamal,99,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Malot,100,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Mughloora,101,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Nali,102,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Pindi Jhunja,103,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Poona,104,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Sokasan,106,Bhu
Health Facility,Azad Kashmir,Hattian Bala,4,Fakroot,108,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Kadyala,109,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Kalwal,110,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Kanjloor,111,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Khadora,113,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Khamba,114,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Panjairri,115,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Sanghar,116,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Thathi,117,Cd
Health Facility,Azad Kashmir,Hattian Bala,4,Dho Bhimber Epi Center,118,x
Health Facility,Azad Kashmir,Hattian Bala,4,District Hosp Bhimber,122,x
Health Facility,Azad Kashmir,Hattian Bala,4,Baboot Epi Center,123,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Chandi Chowk,124,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Danna Epi Center,125,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Dhandar Kot,126,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Kalich,128,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Mathala,129,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Mohra Sada,130,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Thub Epi Center,131,Fap
Health Facility,Azad Kashmir,Hattian Bala,4,Barnala,132,Rhc
Health Facility,Azad Kashmir,Hattian Bala,4,Panjairri,134,Rhc
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil Epi Store Mc,135,x
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil Store Epi Samahni,136,x
Health Facility,Azad Kashmir,Hattian Bala,4,Thq Epi Center Samahni,138,x
District,Azad Kashmir,Hattian Bala,3,Bhimber District Store,139,x
Health Facility,Azad Kashmir,Hattian Bala,4,Bana Mulla,155,Bhu
Health Facility,Azad Kashmir,Haveli,4,Chakhama,157,Bhu
Health Facility,Azad Kashmir,Haveli,4,Chinari,159,Bhu
Health Facility,Azad Kashmir,Haveli,4,Gandi Garan,160,Bhu
Health Facility,Azad Kashmir,Haveli,4,Khaliana,161,Bhu
Health Facility,Azad Kashmir,Haveli,4,Nokot,162,Bhu
Health Facility,Azad Kashmir,Haveli,4,Sana Damian,164,Bhu
Health Facility,Azad Kashmir,Haveli,4,Sarran,165,Bhu
Health Facility,Azad Kashmir,Haveli,4,Sulmia,166,Bhu
Health Facility,Azad Kashmir,Haveli,4,Pahal,167,Cd
Health Facility,Azad Kashmir,Haveli,4,Shahkanja,168,Cd
Health Facility,Azad Kashmir,Haveli,4,Epi Center Cham,169,x
Health Facility,Azad Kashmir,Haveli,4,Andarsari,170,Fap
Health Facility,Azad Kashmir,Haveli,4,Center Bunelangria,171,Fap
Health Facility,Azad Kashmir,Haveli,4,Kundia Shakira,172,Fap
Health Facility,Azad Kashmir,Haveli,4,Moji,173,Fap
Health Facility,Azad Kashmir,Haveli,4,Noon Bagla,174,Fap
Health Facility,Azad Kashmir,Haveli,4,Chakar,175,Rhc
Health Facility,Azad Kashmir,Haveli,4,Chakoti,177,Rhc
Health Facility,Azad Kashmir,Haveli,4,Leepa,178,Rhc
Health Facility,Azad Kashmir,Haveli,4,Sub Center Bala Bandi,182,x
Health Facility,Azad Kashmir,Haveli,4,Sub Center Ghail Jubrrd,183,x
Health Facility,Azad Kashmir,Haveli,4,Tehsil Store,184,x
Health Facility,Azad Kashmir,Haveli,4,Thq Hattian,185,x
District,Azad Kashmir,Haveli,3,Hattian District Store,186,x
Health Facility,Azad Kashmir,Haveli,4,Behedi,200,Bhu
Health Facility,Azad Kashmir,Kotli,4,Bhata Kot,203,Bhu
Health Facility,Azad Kashmir,Kotli,4,Chanjel,204,Bhu
Health Facility,Azad Kashmir,Kotli,4,Degwar,205,Bhu
Health Facility,Azad Kashmir,Kotli,4,Gugdar,207,Bhu
Health Facility,Azad Kashmir,Kotli,4,Hallon Shamali,210,Bhu
Health Facility,Azad Kashmir,Kotli,4,Kala Moula,212,Bhu
Health Facility,Azad Kashmir,Kotli,4,Tongari,213,Bhu
Health Facility,Azad Kashmir,Kotli,4,Hillan,215,Cd
Health Facility,Azad Kashmir,Kotli,4,Mundhar,217,Cd
Health Facility,Azad Kashmir,Kotli,4,Naga Nari,219,Cd
Health Facility,Azad Kashmir,Kotli,4,Soli,220,Cd
Health Facility,Azad Kashmir,Kotli,4,Cherikot,222,Fap
Health Facility,Azad Kashmir,Kotli,4,Khurshidabad,223,Rhc
Health Facility,Azad Kashmir,Kotli,4,Thq Kahutta,225,x
District,Azad Kashmir,Kotli,3,Haveli District Store,229,x
Health Facility,Azad Kashmir,Kotli,4,Anderla Kotera,234,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Barali,235,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Bhial,236,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Changpur Khawas,237,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Choch,238,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Chowki Mong,239,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Dabsi,240,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Damas,242,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Dandli,243,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Darooti Mohra,244,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Dhanna,245,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Docia Jatan,246,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Dondi,247,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Goi,248,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Gulpur,249,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Holar,250,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Jandrol,251,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Kajlani,252,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Kala Dub,253,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Karela,254,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Khanka Koterra,255,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Killkallan,256,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Kokta,257,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Mathrani,258,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Mohra,259,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Phagwari,260,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Plyat Saydain,261,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Qamroti,262,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Rajdhani,263,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Rajdhani Sohana,264,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Sairi,265,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Sandhara,266,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Sehrmandi,267,Bhu
Health Facility,Azad Kashmir,Mirpur,4,Tarkundi,268,Bhu
