Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type,Link,Latitude,Longitude
Health Facility,Azad Kashmir,Bagh,4,Birpani,2,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Chowki,3,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Dhulli,4,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Jhaglari,6,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khawaja Ratnoi,8,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khorl Abbasian,9,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khorl Meldialin,10,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Kot,12,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Neela Butt,13,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Rangla,14,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Rera,15,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sahlian,18,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sari Pirain,19,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sirsyedan,20,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sohawa Shreef,21,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Thub,23,Bhu,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Bani Pasari,25,Cd,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Hill Hosp,27,Cd,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Hq Bagh,30,Cd,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Naryola,31,Cd,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sangher Bathara,32,Cd,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Bagh,33,Dhq Hosp,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Harri Ghal,35,Epi Center,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36,x,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sallyna Mddila,37,Fap,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Natra Kot,38,Fap,0-x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Chittra Topi,39,Rhc,0-x,0,0
