Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type,Link,Match,Latitude,Longitude
Health Facility,Azad Kashmir,Bagh,4,Birpani,2-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Chowki,3-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Dhulli,4-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Jhaglari,6-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khawaja Ratnoi,8-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khorl Abbasian,9-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Khorl Meldialin,10-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Kot,12-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Neela Butt,13-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Rangla,14-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Rera,15-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sahlian,18-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sari Pirain,19-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sirsyedan,20-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sohawa Shreef,21-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Thub,23-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Bani Pasari,25-inv,Cd,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Hill Hosp,27-inv,Cd,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Hq Bagh,30-inv,Cd,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Naryola,31-inv,Cd,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sangher Bathara,32-inv,Cd,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Bagh,33-inv,Dhq Hosp,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Harri Ghal,35-inv,Epi Center,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36-inv,x,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sallyna Mddila,37-inv,Fap,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Natra Kot,38-inv,Fap,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Chittra Topi,39-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Chtter Noz,40-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Arja,41-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Ghazi Abad,42-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Kafal Garh,44-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Mallot,45-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Sessar,47-inv,Rhc,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Tehsil Store Harri Ghal,49-inv,x,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Dhirkot,52-inv,Thq,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Dhirkot Store,54-inv,Thq,0-x,x,0,0
District,Azad Kashmir,Bhimber,3,Bagh,57-inv,District Store,0-x,x,0,0
Health Facility,Azad Kashmir,Bhimber,4,Cheez,76-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Baba Sheel Shadi,77-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Banin,79-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Barhing,81-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Barnala,83-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Bhmawa,84-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Binali,86-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Channi Thothal,87-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Dabb,91-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Gora Nakka,92-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Jandala,93-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Kalri,97-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Kherowal,98-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Kot Jamal,99-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Malot,100-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Mughloora,101-inv,Bhu,0-x,x,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Nali,102-inv,Bhu,0-x,x,0,0
