Health Level,Admin 1,Admin 2,Level,Facility,UID
Health Facility,Azad Kashmir,Bagh,4,BHU Birpani,2
Health Facility,Azad Kashmir,Bhimber,4,BHU CHowki,3
Health Facility,Azad Kashmir,Bhimber,4,BHU Dhulli,4
Health Facility,Azad Kashmir,Bhimber,4,BHU Jhaglari,6
Health Facility,Azad Kashmir,Bhimber,4,BHU Khawaja Ratnoi,8
Health Facility,Azad Kashmir,Bhimber,4,BHU Khorl Abbasian,9
Health Facility,Azad Kashmir,Bhimber,4,BHU Khorl Meldialin,10
Health Facility,Azad Kashmir,Bhimber,4,BHU Kot,12
Health Facility,Azad Kashmir,Bhimber,4,BHU Neela Butt,13
Health Facility,Azad Kashmir,Bhimber,4,BHU Rangla,14
Health Facility,Azad Kashmir,Bhimber,4,BHU Rera,15
Health Facility,Azad Kashmir,Bhimber,4,BHU Sahlian,18
Health Facility,Azad Kashmir,Bhimber,4,BHU Sari Pirain,19
Health Facility,Azad Kashmir,Bhimber,4,BHU Sirsyedan,20
Health Facility,Azad Kashmir,Bhimber,4,BHU Sohawa Shreef,21
Health Facility,Azad Kashmir,Bhimber,4,BHU Thub,23
Health Facility,Azad Kashmir,Bhimber,4,CD Bani Pasari,25
Health Facility,Azad Kashmir,Bhimber,4,CD Hill Hosp,27
Health Facility,Azad Kashmir,Bhimber,4,CD Hq Bagh,30
Health Facility,Azad Kashmir,Bhimber,4,CD Naryola,31
Health Facility,Azad Kashmir,Bhimber,4,CD Sangher Bathara,32
Health Facility,Azad Kashmir,Bhimber,4,DHQ Hosp Bagh,33
Health Facility,Azad Kashmir,Bhimber,4,EPI Center Harri Ghal,35
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36
Health Facility,Azad Kashmir,Bhimber,4,Fap Disp Sallyna Mddila,37
Health Facility,Azad Kashmir,Bhimber,4,Fap Natra Kot,38
Health Facility,Azad Kashmir,Bhimber,4,RHC CHittra Topi,39
Health Facility,Azad Kashmir,Bhimber,4,RHC CHtter Noz,40
Health Facility,Azad Kashmir,Bhimber,4,RHC EPI Center Arja,41
Health Facility,Azad Kashmir,Bhimber,4,RHC Ghazi Abad,42
Health Facility,Azad Kashmir,Bhimber,4,RHC Kafal Garh,44
Health Facility,Azad Kashmir,Bhimber,4,RHC Mallot,45
Health Facility,Azad Kashmir,Bhimber,4,RHC Sessar,47
Health Facility,Azad Kashmir,Bhimber,4,Tehsil Store Harri Ghal,49
Health Facility,Azad Kashmir,Bhimber,4,THQ Dhirkot,52
Health Facility,Azad Kashmir,Bhimber,4,THQ Dhirkot Store,54
District,Azad Kashmir,Bhimber,3,Bagh District Store,57
Health Facility,Azad Kashmir,Bhimber,4, BHU CHeez,76
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Baba Sheel Shadi,77
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Banin,79
Health Facility,Azad Kashmir,Hattian Bala,4,BHU Barhing,81
